Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM,pid,Year,YR_INT
Evgeni Nabokov,38,NYI,40,39,15,14,8,103,1085,982,.905,2.74,4,5.4,2254,16,.410,8,110,-9.51,0,1,1,4,nabokev01,2013-2014,2014
Michal Neuvirth,25,WSH,13,11,4,6,2,36,419,383,.914,2.82,0,2.5,767,7,.636,2,100,0.10,0,1,1,0,neuvimi01,2013-2014,2014
Michal Neuvirth,25,BUF,2,2,0,2,0,5,98,93,.949,2.56,0,1.0,117,2,1.000,0,,,0,0,0,0,neuvimi01,2013-2014,2014
Antti Niemi,30,SJS,64,64,39,17,7,149,1705,1556,.913,2.39,4,10.1,3740,30,.469,9,101,-2.09,0,2,2,0,niemian02,2013-2014,2014
Anders Nilsson,23,NYI,19,17,8,7,2,57,548,491,.896,3.11,0,2.1,1101,6,.353,4,121,-9.78,0,0,0,2,nilssan01,2013-2014,2014
Cristopher Nilstorp,29,DAL,1,0,,,,3,17,14,.824,4.56,0,-0.1,39,0,,0,,,0,0,0,0,nihlsch01,2013-2014,2014
Joni Ortio,22,CGY,9,9,4,4,0,21,193,172,.891,2.52,0,0.6,501,3,.333,1,,,0,2,2,0,ortiojo01,2013-2014,2014
Ondrej Pavelec,26,WPG,57,57,22,26,7,163,1644,1481,.901,3.01,1,7.4,3248,24,.421,12,115,-21.34,0,3,3,0,pavelon01,2013-2014,2014
Justin Peters,27,CAR,21,20,7,9,4,51,626,575,.919,2.50,1,4.1,1225,11,.550,3,95,2.94,0,2,2,4,peterju01,2013-2014,2014
Kevin Poulin,23,NYI,28,26,11,16,1,89,820,731,.891,3.29,0,2.8,1625,8,.308,8,126,-18.34,0,0,0,0,poulike01,2013-2014,2014
Carey Price,26,MTL,59,59,34,20,5,134,1828,1694,.927,2.32,6,13.9,3464,38,.644,7,85,23.51,0,2,2,4,priceca01,2013-2014,2014
Jonathan Quick,28,LAK,49,49,27,17,4,100,1183,1083,.915,2.07,6,7.4,2904,26,.531,6,98,1.93,0,2,2,2,quickjo01,2013-2014,2014
Antti Raanta,24,CHI,25,22,13,5,4,63,610,547,.897,2.71,1,2.4,1397,12,.545,6,120,-10.44,0,1,1,0,raantan01,2013-2014,2014
Karri Ramo,27,CGY,40,37,17,15,4,97,1091,994,.911,2.65,2,6.2,2194,19,.514,5,103,-2.99,0,1,1,10,ramoka01,2013-2014,2014
Tuukka Rask,26,BOS,58,58,36,15,6,115,1641,1526,.930,2.04,7,13.1,3386,39,.672,8,81,26.40,0,2,2,2,rasktu01,2013-2014,2014
James Reimer,25,TOR,36,32,12,16,1,97,1094,997,.911,3.26,1,6.3,1785,16,.500,8,103,-2.73,0,0,0,2,reimeja01,2013-2014,2014
Pekka Rinne,31,NSH,24,24,10,10,3,63,645,582,.902,2.77,2,3.0,1367,12,.500,8,113,-7.42,0,0,0,0,rinnepe01,2013-2014,2014
Cory Schneider,27,NJD,45,43,16,15,12,88,1107,1019,.921,1.97,3,7.6,2680,25,.581,4,92,7.39,0,0,0,4,schneco01,2013-2014,2014
Ben Scrivens,27,EDM,21,20,9,11,0,62,741,679,.916,3.01,1,4.7,1235,12,.600,3,97,1.85,0,0,0,6,scrivbe01,2013-2014,2014
Ben Scrivens,27,LAK,19,15,7,5,4,32,464,432,.931,1.97,3,3.8,975,10,.667,0,80,7.98,0,1,1,0,scrivbe01,2013-2014,2014
Kent Simpson,21,CHI,1,0,,,,2,7,5,.714,6.00,0,-0.1,20,0,,0,,,0,0,0,0,simpske01,2013-2014,2014
Mike Smith,31,PHX,62,61,27,21,10,159,1871,1712,.915,2.64,3,11.6,3610,35,.574,5,99,2.22,1,3,4,14,smithmi01,2013-2014,2014
Alex Stalock,26,SJS,24,18,12,5,2,39,571,532,.932,1.87,2,4.7,1252,12,.667,1,79,10.20,0,0,0,2,staloal01,2013-2014,2014
Niklas Svedberg,24,BOS,1,1,1,0,0,2,35,33,.943,1.97,0,0.3,61,1,1.000,0,,,0,0,0,0,svedbni01,2013-2014,2014
Cam Talbot,26,NYR,21,19,12,6,1,33,560,527,.941,1.64,3,5.2,1211,16,.842,0,68,15.25,0,0,0,0,talboca01,2013-2014,2014
Tim Thomas,39,FLA,40,40,16,20,3,110,1206,1096,.909,2.87,0,6.6,2299,23,.575,6,106,-6.08,0,1,1,4,thomati01,2013-2014,2014
Tim Thomas,39,DAL,8,5,2,4,1,18,184,166,.902,2.97,0,0.9,364,2,.400,1,,,0,0,0,0,thomati01,2013-2014,2014
Dustin Tokarski,24,MTL,3,2,2,0,0,5,93,88,.946,1.84,1,0.9,163,2,1.000,0,,,0,0,0,0,tokardu01,2013-2014,2014
Semyon Varlamov,25,COL,63,60,41,14,6,146,2013,1867,.927,2.41,2,15.5,3640,44,.733,4,84,27.45,0,3,3,2,varlasi01,2013-2014,2014
Mark Visentin,21,PHX,1,1,0,1,0,3,32,29,.906,3.06,0,0.2,59,0,.000,0,,,0,0,0,0,visenma01,2013-2014,2014
Cam Ward,29,CAR,30,28,10,12,6,84,824,740,.898,3.06,0,3.4,1645,11,.393,6,118,-13.00,0,1,1,2,wardca01,2013-2014,2014
Jeff Zatkoff,26,PIT,20,18,12,6,2,51,582,531,.912,2.61,1,3.4,1171,9,.500,3,102,-0.85,0,1,1,0,zatkoje01,2013-2014,2014
Sami Aittokallio,20,COL,1,1,0,0,0,2,25,23,.920,2.43,0,0.2,49,1,1.000,0,,,0,0,0,0,aittosa01,2012-2013,2013
Jake Allen,22,STL,15,13,9,4,0,33,346,313,.905,2.46,1,1.8,804,6,.462,4,108,-2.53,0,0,0,0,allenja01,2012-2013,2013
Craig Anderson,31,OTT,24,24,12,9,2,40,677,637,.941,1.69,3,6.5,1421,17,.708,1,67,19.63,0,0,0,0,andercr01,2012-2013,2013
Richard Bachman,25,DAL,13,8,6,5,0,33,288,255,.885,3.25,0,0.9,609,4,.500,3,130,-7.63,0,0,0,0,bachmri01,2012-2013,2013
Niklas Backstrom,34,MIN,42,41,24,15,3,98,1072,974,.909,2.48,2,6.2,2368,18,.439,8,104,-3.58,0,0,0,2,backsni01,2012-2013,2013
Jonathan Bernier,24,LAK,14,12,9,3,1,24,306,282,.922,1.87,1,2.2,768,8,.667,1,89,2.95,0,1,1,0,bernijo01,2012-2013,2013
Martin Biron,35,NYR,6,5,2,2,1,13,156,143,.917,2.32,0,1.0,336,2,.400,1,,,0,0,0,0,bironma01,2012-2013,2013
Ben Bishop,26,OTT,13,12,8,5,0,31,399,368,.922,2.45,1,3.0,758,8,.667,3,88,4.14,0,0,0,0,bishobe01,2012-2013,2013
Ben Bishop,26,TBL,9,9,3,4,1,25,302,277,.917,2.99,1,2.0,502,6,.667,0,94,1.60,0,0,0,2,bishobe01,2012-2013,2013
Sergei Bobrovsky,24,CBJ,38,37,21,11,6,74,1084,1010,.932,2.00,4,9.2,2219,26,.703,4,78,21.48,0,0,0,0,bobrose01,2012-2013,2013
Brian Boucher,36,PHI,4,1,0,2,0,6,55,49,.891,2.50,0,0.2,144,0,.000,0,,,0,0,0,0,bouchbr01,2012-2013,2013
Martin Brodeur,40,NJD,29,29,13,9,7,65,654,589,.901,2.22,2,3.1,1757,15,.517,6,113,-7.40,1,2,3,0,brodema01,2012-2013,2013
Ilya Bryzgalov,32,PHI,40,40,19,17,3,107,1066,959,.900,2.79,1,5.0,2298,20,.500,10,114,-13.11,0,3,3,0,bryzgil01,2012-2013,2013
Peter Budaj,30,MTL,13,10,8,1,1,25,273,248,.908,2.28,1,1.6,656,6,.600,2,104,-0.95,0,0,0,0,budajpe01,2012-2013,2013
Scott Clemmensen,35,FLA,19,11,3,7,2,53,421,368,.874,3.67,0,0.7,866,3,.273,4,143,-15.92,0,0,0,0,clemmsc01,2012-2013,2013
Corey Crawford,28,CHI,30,28,19,5,5,57,769,712,.926,1.94,3,6.0,1761,19,.679,1,84,10.73,0,0,0,4,crawfco01,2012-2013,2013
Yann Danis,31,EDM,3,0,1,0,0,7,59,52,.881,3.81,0,0.1,110,0,,0,,,0,0,0,0,danisya01,2012-2013,2013
Cedrick Desjardins,27,TBL,3,2,0,3,0,8,73,65,.890,3.00,0,0.3,160,0,.000,0,,,0,0,0,0,desjace01,2012-2013,2013
Rick DiPietro,31,NYI,3,3,0,3,0,12,83,71,.855,4.10,0,-0.1,176,0,.000,1,,,0,0,0,0,dipieri01,2012-2013,2013
Devan Dubnyk,26,EDM,38,37,14,16,6,90,1132,1042,.920,2.57,2,8.1,2101,20,.541,5,90,9.70,0,0,0,0,dubnyde01,2012-2013,2013
Brian Elliott,27,STL,24,20,14,8,1,49,526,477,.907,2.28,3,2.9,1292,12,.600,6,106,-2.67,0,0,0,0,elliobr01,2012-2013,2013
Dan Ellis,32,CAR,19,16,6,8,2,52,555,503,.906,3.13,1,3.0,997,8,.500,4,106,-3.12,0,2,2,0,ellisda01,2012-2013,2013
Ray Emery,30,CHI,21,19,17,1,0,36,460,424,.922,1.94,3,3.4,1116,12,.632,1,89,4.52,0,0,0,0,emeryra01,2012-2013,2013
Jhonas Enroth,24,BUF,12,9,4,4,1,27,332,305,.919,2.60,1,2.3,623,7,.778,1,92,2.24,0,0,0,0,enrotjh01,2012-2013,2013
Viktor Fasth,30,ANA,25,23,15,6,2,52,661,609,.921,2.18,4,4.8,1428,14,.609,3,89,6.22,0,0,0,0,fasthvi01,2012-2013,2013
Marc-Andre Fleury,28,PIT,33,31,23,8,0,74,881,807,.916,2.39,1,5.9,1858,15,.484,5,95,3.60,0,2,2,2,fleurma01,2012-2013,2013
Jeff Frazee,25,NJD,1,0,0,0,0,0,3,3,1.000,0.00,0,0.1,19,0,,0,,,0,0,0,0,frazeje01,2012-2013,2013
Mathieu Garon,35,TBL,18,16,5,9,2,44,427,383,.897,2.90,0,1.9,910,6,.375,4,117,-6.39,0,0,0,0,garonma01,2012-2013,2013
Jean-Sebastien Giguere,35,COL,18,14,5,4,4,43,469,426,.908,2.84,0,2.7,908,4,.286,1,104,-1.69,0,0,0,4,gigueje01,2012-2013,2013
Thomas Greiss,27,SJS,6,5,1,4,0,13,153,140,.915,2.53,1,1.0,308,3,.600,1,,,0,0,0,0,greisth01,2012-2013,2013
Philipp Grubauer,21,WSH,2,1,0,1,0,5,59,54,.915,3.57,0,0.4,84,0,.000,0,,,0,0,0,0,grubaph01,2012-2013,2013
Jonas Gustavsson,28,DET,7,4,2,2,1,17,140,123,.879,2.92,0,0.3,349,2,.500,1,,,0,1,1,2,gustajo01,2012-2013,2013
Matt Hackett,22,MIN,1,1,0,1,0,5,33,28,.848,5.07,0,0.0,59,0,.000,1,,,0,0,0,0,hackema01,2012-2013,2013
Jaroslav Halak,27,STL,16,15,6,5,1,29,286,257,.899,2.14,3,1.3,813,7,.467,4,115,-3.81,0,1,1,0,halakja01,2012-2013,2013
Josh Harding,28,MIN,5,3,1,1,0,10,73,63,.863,3.24,1,0.0,185,1,.333,2,,,0,0,0,0,hardijo01,2012-2013,2013
Johan Hedberg,39,NJD,19,19,6,10,3,51,435,384,.883,2.76,1,1.2,1108,9,.474,6,133,-12.69,0,1,1,4,hedbejo01,2012-2013,2013
Jonas Hiller,30,ANA,26,25,15,6,4,59,675,616,.913,2.36,1,4.2,1498,14,.560,2,99,0.45,0,1,1,2,hillejo01,2012-2013,2013
Braden Holtby,23,WSH,36,35,23,12,1,90,1123,1033,.920,2.58,4,8.0,2089,20,.571,5,91,8.91,0,2,2,2,holtbbr01,2012-2013,2013
Jimmy Howard,28,DET,42,42,21,13,7,87,1129,1042,.923,2.13,5,8.4,2446,26,.619,7,87,12.44,0,1,1,0,howarja02,2012-2013,2013
Carter Hutton,27,CHI,1,1,0,1,0,3,28,25,.893,3.06,0,0.1,59,0,.000,0,,,0,0,0,0,huttoca01,2012-2013,2013
Leland Irving,24,CGY,6,5,2,1,1,15,128,113,.883,3.33,0,0.3,270,1,.200,2,,,0,1,1,0,irvinle01,2012-2013,2013
Chad Johnson,26,PHX,4,4,2,0,2,5,108,103,.954,1.22,1,1.2,247,3,.750,0,,,0,0,0,0,johnsch02,2012-2013,2013
Nikolai Khabibulin,40,EDM,12,11,4,6,1,29,376,347,.923,2.55,1,2.8,684,6,.545,1,88,4.12,0,0,0,0,khabini01,2012-2013,2013
Anton Khudobin,26,BOS,14,14,9,4,1,31,388,357,.920,2.32,1,2.8,803,8,.571,3,91,3.17,0,0,0,4,khudoan01,2012-2013,2013
Keith Kinkaid,23,NJD,1,0,0,0,0,1,13,12,.923,2.33,0,0.1,26,0,,0,,,0,0,0,0,kinkake01,2012-2013,2013
Miikka Kiprusoff,36,CGY,24,24,8,14,2,77,650,573,.882,3.44,0,1.6,1344,10,.417,9,134,-19.75,0,1,1,0,kiprumi01,2012-2013,2013
Darcy Kuemper,22,MIN,6,3,1,2,0,10,119,109,.916,2.08,0,0.8,288,2,.667,0,,,0,0,0,0,kuempda01,2012-2013,2013
Jason LaBarbera,33,PHX,15,10,4,6,2,32,418,386,.923,2.64,0,3.1,726,5,.500,0,87,4.82,0,0,0,0,labarja01,2012-2013,2013
Robin Lehner,21,OTT,12,12,5,3,4,27,424,397,.936,2.20,0,3.8,735,10,.833,0,72,10.34,0,0,0,0,lehnero01,2012-2013,2013
Kari Lehtonen,29,DAL,36,35,15,14,3,88,1050,962,.916,2.66,1,7.0,1986,21,.600,5,95,4.48,0,2,2,0,lehtoka01,2012-2013,2013
Michael Leighton,31,PHI,1,1,0,1,0,5,26,21,.808,5.07,0,-0.2,59,0,.000,1,,,0,0,0,0,leighmi01,2012-2013,2013
Anders Lindback,24,TBL,24,21,10,10,1,63,642,579,.902,2.90,0,3.2,1304,11,.524,3,111,-6.45,0,1,1,0,lindban01,2012-2013,2013
Henrik Lundqvist,30,NYR,43,43,24,16,3,88,1190,1102,.926,2.05,2,9.3,2575,29,.674,1,84,16.81,0,1,1,0,lundqhe01,2012-2013,2013
Roberto Luongo,33,VAN,20,18,9,6,3,51,551,500,.907,2.56,2,3.1,1197,11,.611,3,105,-2.47,0,0,0,0,luongro01,2012-2013,2013
Joey MacDonald,32,CGY,21,17,8,9,1,55,562,507,.902,2.87,0,2.8,1148,7,.412,3,111,-5.50,0,0,0,0,macdojo01,2012-2013,2013
Jacob Markstrom,23,FLA,23,23,8,14,1,68,685,617,.901,3.22,0,3.3,1266,9,.391,6,113,-7.67,0,0,0,0,marksja02,2012-2013,2013
Chris Mason,36,NSH,11,6,1,7,1,29,229,200,.873,3.73,0,0.4,467,3,.500,2,144,-8.83,0,0,0,0,masonch02,2012-2013,2013
Steve Mason,24,CBJ,13,11,3,6,1,35,346,311,.899,2.95,0,1.6,712,3,.273,1,115,-4.53,0,0,0,0,masonst01,2012-2013,2013
Steve Mason,24,PHI,7,6,4,2,0,12,215,203,.944,1.90,0,2.2,378,4,.667,0,63,6.94,0,1,1,0,masonst01,2012-2013,2013
Ryan Miller,32,BUF,40,39,17,17,5,108,1270,1162,.915,2.81,0,8.3,2302,21,.538,4,97,3.86,0,0,0,2,millery01,2012-2013,2013
Al Montoya,27,WPG,7,5,3,1,0,17,168,151,.899,2.90,1,0.8,351,2,.400,2,,,0,0,0,0,montoal01,2012-2013,2013
Petr Mrazek,20,DET,2,2,1,1,0,4,51,47,.922,2.01,0,0.4,119,1,.500,0,,,0,0,0,0,mrazepe01,2012-2013,2013
Evgeni Nabokov,37,NYI,41,41,23,11,7,103,1139,1036,.910,2.50,3,6.7,2475,20,.488,5,103,-2.68,0,4,4,6,nabokev01,2012-2013,2013
Michal Neuvirth,24,WSH,13,12,4,5,2,33,367,334,.910,2.74,0,2.2,723,7,.583,2,102,-0.68,0,0,0,0,neuvimi01,2012-2013,2013
Antti Niemi,29,SJS,43,43,24,12,6,93,1220,1127,.924,2.16,4,9.2,2581,29,.674,3,87,14.45,0,1,1,2,niemian02,2012-2013,2013
Cristopher Nilstorp,28,DAL,5,5,1,3,1,15,146,131,.897,3.09,0,0.6,291,2,.400,2,,,0,0,0,0,nihlsch01,2012-2013,2013
Ondrej Pavelec,25,WPG,44,43,21,20,3,119,1251,1132,.905,2.80,0,6.6,2553,19,.442,8,108,-8.82,0,0,0,2,pavelon01,2012-2013,2013
Justin Peters,26,CAR,19,16,4,11,1,55,506,451,.891,3.46,1,1.9,954,6,.375,3,123,-10.43,0,0,0,0,peterju01,2012-2013,2013
Kevin Poulin,22,NYI,5,4,1,3,0,13,122,109,.893,3.03,0,0.5,258,2,.500,1,,,0,0,0,0,poulike01,2012-2013,2013
Carey Price,25,MTL,39,38,21,13,4,97,1018,921,.905,2.59,3,5.4,2249,21,.553,8,108,-7.34,0,0,0,0,priceca01,2012-2013,2013
Jonathan Quick,27,LAK,37,36,18,13,4,87,889,802,.902,2.45,1,4.4,2134,20,.556,9,111,-8.70,0,0,0,2,quickjo01,2012-2013,2013
Tuukka Rask,25,BOS,36,34,19,10,5,70,980,910,.929,2.00,5,8.0,2104,25,.735,4,81,16.32,0,1,1,0,rasktu01,2012-2013,2013
James Reimer,24,TOR,33,31,19,8,5,76,995,919,.924,2.46,4,7.5,1856,17,.548,2,87,11.64,0,1,1,0,reimeja01,2012-2013,2013
Pekka Rinne,30,NSH,43,42,15,16,8,99,1101,1002,.910,2.43,5,6.5,2444,22,.524,10,102,-2.03,0,1,1,8,rinnepe01,2012-2013,2013
Jussi Rynnas,25,TOR,1,0,0,0,0,0,6,6,1.000,0.00,0,0.1,10,0,,0,,,0,0,0,0,rynnaju01,2012-2013,2013
Cory Schneider,26,VAN,30,30,17,9,4,61,835,774,.927,2.11,5,6.6,1733,21,.700,4,83,12.54,0,1,1,0,schneco01,2012-2013,2013
Ben Scrivens,26,TOR,20,17,7,9,0,46,542,496,.915,2.69,2,3.5,1025,10,.588,3,96,1.74,0,0,0,6,scrivbe01,2012-2013,2013
Mike Smith,30,PHX,34,34,15,12,5,84,938,854,.910,2.58,5,5.6,1956,17,.500,7,102,-1.38,0,0,0,0,smithmi01,2012-2013,2013
Alex Stalock,25,SJS,2,0,0,0,1,2,13,11,.846,2.87,0,0.0,42,0,,0,,,0,0,0,0,staloal01,2012-2013,2013
Daniel Taylor,26,CGY,2,2,1,1,0,6,68,62,.912,3.00,0,0.4,120,1,.500,0,,,0,0,0,0,tayloda02,2012-2013,2013
Jose Theodore,36,FLA,15,14,4,6,3,42,391,349,.893,3.29,0,1.5,766,5,.357,5,122,-7.56,0,0,0,2,theodjo01,2012-2013,2013
Semyon Varlamov,24,COL,35,33,11,21,3,98,1007,909,.903,3.02,3,5.1,1950,12,.364,7,110,-9.31,0,1,1,0,varlasi01,2012-2013,2013
Tomas Vokoun,36,PIT,20,17,13,4,0,42,519,477,.919,2.45,3,3.6,1029,9,.529,5,92,3.71,0,2,2,2,vokouto01,2012-2013,2013
Cam Ward,28,CAR,17,16,9,6,1,44,477,433,.908,2.84,0,2.7,929,8,.500,3,105,-1.99,0,0,0,0,wardca01,2012-2013,2013
Craig Anderson,30,OTT,63,60,33,22,6,165,1917,1752,.914,2.83,3,11.7,3492,34,.567,9,100,0.75,0,4,4,4,andercr01,2011-2012,2012
Alex Auld,31,OTT,14,8,2,4,2,36,310,274,.884,3.35,0,0.8,645,2,.250,2,,,0,0,0,0,auldal01,2011-2012,2012
Richard Bachman,24,DAL,18,15,8,5,1,43,477,434,.910,2.77,1,2.7,933,9,.600,2,104,-1.76,0,1,1,0,bachmri01,2011-2012,2012
Niklas Backstrom,33,MIN,46,45,19,18,7,105,1299,1194,.919,2.43,4,8.8,2590,24,.533,8,93,7.31,0,2,2,2,backsni01,2011-2012,2012
Jonathan Bernier,23,LAK,16,13,5,6,2,35,383,348,.909,2.36,1,2.1,890,6,.462,1,106,-1.88,0,0,0,0,bernijo01,2011-2012,2012
Martin Biron,34,NYR,21,20,12,6,2,50,519,469,.904,2.46,2,2.5,1220,7,.350,4,111,-5.13,0,3,3,0,bironma01,2011-2012,2012
Ben Bishop,25,OTT,10,9,3,3,2,22,243,221,.909,2.48,0,1.4,532,5,.556,1,,,0,0,0,2,bishobe01,2011-2012,2012
Sergei Bobrovsky,23,PHI,29,25,14,10,2,78,769,691,.899,3.02,0,3.3,1550,11,.440,5,117,-11.51,0,0,0,0,bobrose01,2011-2012,2012
Brian Boucher,35,CAR,10,8,1,6,1,31,260,229,.881,3.40,0,0.6,546,2,.250,2,,,0,0,0,0,bouchbr01,2011-2012,2012
Martin Brodeur,39,NJD,59,59,31,21,4,136,1472,1336,.908,2.41,3,7.9,3392,29,.492,11,107,-8.73,0,4,4,2,brodema01,2011-2012,2012
Ilya Bryzgalov,31,PHI,59,57,33,16,7,141,1554,1413,.909,2.48,6,8.6,3415,32,.561,14,105,-6.64,0,2,2,4,bryzgil01,2011-2012,2012
Peter Budaj,29,MTL,17,17,5,7,5,44,508,464,.913,2.55,0,3.1,1037,8,.471,0,100,-0.08,0,3,3,2,budajpe01,2011-2012,2012
Sebastien Caron,31,TBL,3,2,1,1,0,7,57,50,.877,3.12,0,0.1,135,1,.500,1,,,0,0,0,0,caronse01,2011-2012,2012
Scott Clemmensen,34,FLA,30,25,14,6,6,67,773,706,.913,2.57,1,4.7,1566,16,.640,5,100,-0.16,0,1,1,0,clemmsc01,2011-2012,2012
Ty Conklin,35,DET,15,13,5,6,1,44,378,334,.884,3.28,1,0.9,805,5,.385,4,135,-11.32,0,1,1,0,conklty01,2011-2012,2012
Corey Crawford,27,CHI,57,55,30,17,7,146,1507,1361,.903,2.72,0,7.3,3218,27,.491,13,112,-15.70,0,0,0,0,crawfco01,2011-2012,2012
Yann Danis,30,EDM,1,0,0,0,0,2,12,10,.833,3.70,0,0.0,32,0,,0,,,0,0,0,0,danisya01,2011-2012,2012
Jeff Deslauriers,27,ANA,4,4,3,1,0,11,113,102,.903,2.74,0,0.5,241,2,.500,0,,,0,0,0,0,drouije01,2011-2012,2012
Rick DiPietro,30,NYI,8,6,3,2,3,22,177,155,.876,3.73,0,0.3,354,1,.167,2,,,0,2,2,0,dipieri01,2011-2012,2012
Devan Dubnyk,25,EDM,47,42,20,20,3,118,1380,1262,.914,2.67,2,8.5,2653,23,.548,6,99,1.32,0,1,1,0,dubnyde01,2011-2012,2012
Brian Elliott,26,STL,38,36,23,10,4,58,972,914,.940,1.56,9,9.0,2235,28,.778,1,69,26.04,0,0,0,0,elliobr01,2011-2012,2012
Dan Ellis,31,ANA,10,5,1,5,0,19,214,195,.911,2.72,0,1.2,419,1,.200,1,,,0,1,1,0,ellisda01,2011-2012,2012
Ray Emery,29,CHI,34,27,15,9,4,83,834,751,.900,2.81,0,3.8,1774,12,.444,5,115,-10.89,0,1,1,2,emeryra01,2011-2012,2012
Jhonas Enroth,23,BUF,26,22,8,11,4,63,756,693,.917,2.70,1,4.9,1399,15,.682,4,96,2.37,0,0,0,2,enrotjh01,2011-2012,2012
Marc-Andre Fleury,27,PIT,67,64,42,17,4,153,1768,1615,.913,2.36,3,10.7,3896,36,.563,7,100,-0.13,0,2,2,4,fleurma01,2011-2012,2012
Brian Foster,24,FLA,1,0,0,0,0,0,1,1,1.000,0.00,0,0.0,5,0,,0,,,0,0,0,0,fostebr01,2011-2012,2012
Mathieu Garon,34,TBL,48,44,23,16,4,118,1191,1073,.901,2.85,1,5.4,2484,20,.455,7,115,-15.02,0,2,2,0,garonma01,2011-2012,2012
Jean-Sebastien Giguere,34,COL,32,30,15,11,3,69,850,781,.919,2.28,2,5.7,1820,19,.633,4,94,4.49,0,0,0,2,gigueje01,2011-2012,2012
Thomas Greiss,26,SJS,19,14,9,7,1,40,472,432,.915,2.30,0,3.0,1043,7,.500,2,98,0.81,0,0,0,2,greisth01,2011-2012,2012
Jonas Gustavsson,27,TOR,42,36,17,17,4,112,1147,1035,.902,2.92,4,5.4,2301,14,.389,2,113,-12.83,0,1,1,4,gustajo01,2011-2012,2012
Matt Hackett,21,MIN,12,7,3,6,0,22,282,260,.922,2.38,0,2.0,556,3,.429,2,,,0,0,0,0,hackema01,2011-2012,2012
Jaroslav Halak,26,STL,46,46,26,12,7,90,1211,1121,.926,1.97,6,9.1,2747,29,.630,5,86,14.71,0,0,0,0,halakja01,2011-2012,2012
Josh Harding,27,MIN,34,30,13,12,4,81,981,900,.917,2.62,2,6.4,1855,18,.600,4,95,3.82,0,0,0,0,hardijo01,2011-2012,2012
Johan Hedberg,38,NJD,27,23,17,7,2,59,718,659,.918,2.22,4,4.7,1591,12,.522,1,95,3.08,0,0,0,2,hedbejo01,2011-2012,2012
Jonas Hiller,29,ANA,73,72,29,30,12,182,2021,1839,.910,2.57,4,11.4,4253,39,.542,14,104,-7.26,0,1,1,0,hillejo01,2011-2012,2012
Braden Holtby,22,WSH,7,6,4,2,1,15,192,177,.922,2.50,1,1.4,361,3,.500,1,,,0,0,0,0,holtbbr01,2011-2012,2012
Jimmy Howard,27,DET,57,57,35,17,4,119,1496,1377,.920,2.12,6,10.3,3360,35,.614,8,92,10.35,0,1,1,6,howarja02,2011-2012,2012
Shawn Hunwick,24,CBJ,1,0,0,0,0,0,0,0,,0.00,0,0.0,3,0,,0,,,0,0,0,0,hunwish01,2011-2012,2012
Leland Irving,23,CGY,7,7,1,3,3,21,239,218,.912,3.19,0,1.4,394,5,.714,1,,,0,0,0,0,irvinle01,2011-2012,2012
Brent Johnson,34,PIT,16,14,6,7,2,42,359,317,.883,3.11,0,0.9,811,4,.286,5,135,-10.96,0,1,1,0,johnsbr02,2011-2012,2012
Henrik Karlsson,28,CGY,9,7,1,4,2,24,239,215,.900,3.17,0,1.1,454,2,.286,1,,,0,0,0,0,karlshe01,2011-2012,2012
Nikolai Khabibulin,39,EDM,40,40,12,20,7,100,1114,1014,.910,2.65,2,6.3,2261,20,.500,6,104,-3.68,0,0,0,0,khabini01,2011-2012,2012
Anton Khudobin,25,BOS,1,1,1,0,0,1,45,44,.978,1.00,0,0.6,60,1,1.000,0,,,0,0,0,0,khudoan01,2011-2012,2012
Miikka Kiprusoff,35,CGY,70,68,35,22,11,162,2040,1878,.921,2.35,4,14.1,4128,40,.588,6,92,14.38,0,0,0,0,kiprumi01,2011-2012,2012
Jason LaBarbera,32,PHX,19,14,3,9,3,43,486,443,.912,2.54,0,2.8,1015,8,.571,1,102,-0.98,0,0,0,2,labarja01,2011-2012,2012
Robin Lehner,20,OTT,5,5,3,2,0,10,154,144,.935,2.01,1,1.3,299,4,.800,0,,,0,0,0,0,lehnero01,2011-2012,2012
Kari Lehtonen,28,DAL,59,59,32,22,4,136,1739,1603,.922,2.33,4,12.3,3497,36,.610,7,90,14.36,0,3,3,0,lehtoka01,2011-2012,2012
Anders Lindback,23,NSH,16,10,5,8,0,32,364,332,.912,2.42,0,2.1,792,5,.500,2,102,-0.53,0,1,1,0,lindban01,2011-2012,2012
Henrik Lundqvist,29,NYR,62,62,39,18,5,123,1753,1630,.930,1.97,8,14.1,3754,40,.645,3,81,28.57,0,2,2,4,lundqhe01,2011-2012,2012
Roberto Luongo,32,VAN,55,54,31,14,8,127,1577,1450,.919,2.41,5,10.7,3162,32,.593,7,93,9.35,0,1,1,4,luongro01,2011-2012,2012
Joey MacDonald,31,DET,14,12,8,5,1,29,330,301,.912,2.16,0,1.9,806,5,.417,1,102,-0.47,0,0,0,0,macdojo01,2011-2012,2012
Drew MacIntyre,28,BUF,2,0,0,0,0,1,18,17,.944,1.38,0,0.2,43,0,,0,,,0,0,0,0,macindr01,2011-2012,2012
Peter Mannino,27,WPG,1,0,0,0,0,0,4,4,1.000,0.00,0,0.1,20,0,,0,,,0,0,0,0,mannipe01,2011-2012,2012
Jacob Markstrom,22,FLA,7,6,2,4,1,17,222,205,.923,2.66,0,1.6,383,3,.500,0,,,0,0,0,0,marksja02,2011-2012,2012
