pid,Player,Position,dob,Shoots,height,height_cm,weight,city,state,country
adamsjo04,Johan Adams,RW,1997-02-05,Right,6-5,196,204,Boston,Massachusetts,us
adamsjo03,John Adams,D,1982-12-21,,,,,,,
adamsjo01,John Adams,LW,1920-05-05,Left,5-10,178,163,Calgary,Alberta,ca
adamsjo02,John Adams,G,1946-07-27,,6-0,183,200,,,
adamske01,Kevyn Adams,C,1974-10-08,Right,6-1,185,200,,,
adamsma01,Mark Adams,D,1991-05-23,,,,,,,
adamsst01,Stew Adams,LW,1904-10-16,Left,5-10,178,165,Calgary,Alberta,ca
addisca01,Calen Addison,D,2000-04-11,Right,5-11,180,180,Brandon,Manitoba,ca
addisje01,Jeremiah Addison,LW,1996-10-21,Left,6-0,183,183,Brampton,Ontario,ca
adduora01,Ray Adduono,C,1947-01-21,Left,5-9,175,160,,,
adduori01,Rick Adduono,C,1955-01-25,,5-11,180,182,,,
aebisda01,David Aebischer,G,1978-02-07,,6-1,185,185,Geneva,Switzerland,ch
afanadm01,Dmitry Afanasenkov,LW,1980-05-12,Right,6-2,188,209,Arkhangelsk,USSR,su
afanaeg01,Egor  Afanasyev,LW,2001-01-23,Left,6-3,190,204,,,
afflebr01,Bruce Affleck,D,1954-05-05,Left,6-0,183,205,,,
afinoma01,Maxim Afinogenov,RW,1979-09-04,Left,6-0,183,190,Moscow,USSR,su
agnewji01,Jim Agnew,D,1966-03-21,Left,6-1,185,190,Hartney,Manitoba,ca
agostke01,Kenny Agostino,LW,1992-04-30,Left,6-0,183,199,,,
agozzan01,Andrew Agozzino,LW,1991-01-03,Left,5-10,178,180,Kleinburg,Ontario,ca
ahacla01,Layton Ahac,D,2001-02-22,Left,6-2,188,190,,,
ahearke01,Kevin Ahearn,LW,1948-06-20,Left,5-10,178,160,Milton,Massachusetts,us
ahernfr01,Fred Ahern,RW,1952-02-12,Right,6-0,183,180,Boston,Massachusetts,us
ahlfi01,Filip Ahl,LW,1997-06-12,Left,6-3,190,211,Jonkoping,Sweden,se
ahlinru01,Rudy Ahlin,LW,1908-12-13,Left,5-11,180,176,Eveleth,Minnesota,us
ahneljo01,Jonas Ahnelov,LW,1987-12-11,,,,,,,
ahose01,Sebastian Aho,F,1997-07-26,Left,6-0,183,173,Rauma,Finland,fi
ahose02,Sebastian Aho,D,1996-02-17,Left,5-10,178,184,Umea,Sweden,se
ahokase01,Seppo Ahokainen,,,,,,,,,
aholape01,Peter Ahola,D,1968-05-14,Left,6-3,190,205,Espoo,Finland,fi
ahrench01,Chris Ahrens,D,1952-07-31,Right,6-0,183,185,,,
aiellan01,Anthony Aiello,D,1986-05-19,,,,,,,
aikendo01,John Aiken,G,1932-01-01,,5-11,180,165,Arlington,Massachusetts,us
aikinju01,Justin Aikins,C,1982-01-12,,,,,,,
ailsbll01,Lloyd Ailsby,D,1917-05-11,Left,5-11,180,194,,,
airolsa01,Santeri Airola,D,2000-06-29,Right,5-11,180,163,Imatra,Finland,fi
aitkebr01,Brad Aitken,LW,1967-10-30,Left,6-2,188,200,Scarborough,Ontario,ca
aitkejo01,Johnathan Aitken,D,1978-05-24,Left,6-4,193,230,Edmonton,Alberta,ca
aitkean01,Andy Aitkenhead,G,1904-03-06,,5-9,175,145,,,
aittosa01,Sami Aittokallio,G,1992-08-06,,6-1,185,174,Tampere,Finland,fi
aivazmi01,Micah Aivazoff,C,1969-05-04,Left,6-0,183,195,,,
akerlma01,Magnus Akerlund,G,1986-04-25,,,,,,,
akesoja01,Jason Akeson,RW,1990-06-03,Right,5-10,178,190,Orleans,Ontario,ca
akhtyar01,Artur Akhtyamov,G,2001-10-31,,6-1,185,167,,,
akkanka01,Karri Akkanen,RW,1984-01-29,,,,,,,
alatami01,Mika Alatalo,LW,1971-06-11,Left,6-0,183,202,Oulu,Finland,fi
albelto01,Tommy Albelin,D,1964-05-21,Left,6-2,188,195,Stockholm,Sweden,se
alberjo01,John Albert,C,1989-01-19,,5-11,180,190,Cleveland,Ohio,us
alberan01,Andrew Alberts,D,1981-06-30,Left,6-5,196,206,Minneapolis,Minnesota,us
albricl01,Clint Albright,C,1926-02-28,Left,6-2,188,180,Winnipeg,Manitoba,ca
alcenjo01,Johan Alcen,RW,1988-03-11,,,,,,,
aldcoga01,Gary Aldcorn,LW,1935-03-07,Left,5-11,180,170,Shaunavon,Saskatchewan,ca
aldrike01,Keith Aldridge,D,1973-07-20,Right,5-11,180,185,Detroit,Michigan,us
alenju01,Juha Alen,D,1981-10-25,,,,,,,
alexacl01,Claire Alexander,D,1945-06-16,Right,6-1,185,175,Collingwood,Ontario,ca
alexaar01,Art Alexandre,LW,1909-03-02,Right,5-5,165,150,,,
alexani01,Nikita Alexandrov,C,2000-09-16,Left,6-0,183,190,Burgwedel,Germany,de
alexavi01,Viktor Alexandrov,LW,1985-12-28,,,,,,,
alexayu01,Yury Alexandrov,D,1988-06-24,Left,6-0,183,186,Cherepovets,USSR,su
alexeni01,Nikita Alexeev,RW,1981-12-27,Left,6-5,196,227,Murmansk,USSR,su
alexeal01,Alexander Alexeyev,D,1999-11-15,Left,6-4,193,197,,,
alfreda01,Daniel Alfredsson,RW,1972-12-11,Right,5-11,180,196,Gothenburg,Sweden,se
aliuak01,Akim Aliu,RW,1989-04-24,Right,6-4,193,225,Okene,Nigeria,ng
allanje01,Jeff Allan,D,1957-05-17,Left,6-1,185,194,Toronto,Ontario,ca
allarfr01,Frederic Allard,D,1997-12-27,Right,6-1,185,179,,,
allarje01,Jean-Simon Allard,C,1989-05-24,,,,,,,
allenbo01,Bobby Allen,D,1978-11-14,Left,6-0,183,201,Weymouth,Massachusetts,us
allenbr01,Bryan Allen,D,1980-08-21,Left,6-5,196,223,Kingston,Ontario,ca
allench01,Chris Allen,D,1978-05-08,Right,6-2,188,197,Chatham,Ontario,ca
allenco01,Conor Allen,D,1990-01-31,Left,6-1,185,203,Chicago,Illinois,us
allenge01,George Allen,LW/D,1914-07-27,Left,5-10,178,162,,,
allenja01,Jake Allen,G,1990-08-07,,6-2,188,203,,,
allenke01,Keith Allen,D,1923-08-21,Left,5-10,178,190,Saskatoon,Saskatchewan,ca
allenpe01,Peter Allen,D,1970-03-06,Right,6-2,188,200,Calgary,Alberta,ca
allenvi01,Viv Allen,RW,1916-09-09,Right,5-6,168,140,,,
alleyst01,Steve Alley,LW,1953-12-29,Left,6-0,183,185,Anoka,Minnesota,us
allisda01,Dave Allison,D,1959-04-14,Right,6-1,185,200,,,
allisja01,Jamie Allison,D,1975-05-13,Left,6-1,185,210,Lindsay,Ontario,ca
allisja02,Jason Allison,C,1975-05-29,Right,6-3,190,215,,,
allismi01,Mike Allison,LW,1961-03-28,Right,6-0,183,200,,,
allisra01,Ray Allison,RW,1959-03-04,Right,5-10,178,195,,,
alliswa01,Wade Allison,RW,1997-10-14,Right,6-2,188,205,Carman,Manitoba,ca
allumbi01,Bill Allum,D,1916-10-09,Left,5-11,180,194,Winnipeg,Manitoba,ca
almjo01,Johan Alm,D,1992-01-28,Left,6-3,190,209,Skelleftea,Sweden,se
almarni01,Niclas Almari,D,1998-05-11,Left,,,,,,
almasre01,Red Almas,G,1924-04-26,,5-9,175,160,Saskatoon,Saskatchewan,ca
almeiju01,Justin Almeida,C,1999-02-06,Left,5-9,175,158,,,
almonco01,Cody Almond,C,1989-07-24,,6-2,188,199,,,
almqvad01,Adam Almqvist,D,1991-02-27,,5-11,180,174,,,
almtojo01,Jonas Almtorp,C,1983-11-17,,,,,,,
alnefhu01,Hugo Alnefelt,G,2001-06-04,,6-2,188,183,Danderyd,Sweden,se
altma01,Mark Alt,D,1991-10-18,Right,6-4,193,205,,,
altshda01,Daniel Altshuller,G,1994-07-24,,6-3,190,205,Ottawa,Ontario,ca
altyban01,Andrei Altybarmakyan,RW,1998-08-04,Left,5-10,178,183,,,
alvesjo01,Jorge Alves,G,1979-01-30,,,,,,,
alzneka01,Karl Alzner,D,1988-09-24,Left,6-3,190,213,,,
amadida01,Dave Amadio,D,1939-04-23,Right,6-1,185,207,,,
amadimi01,Michael Amadio,C,1996-05-13,Right,6-1,185,205,,,
amanni01,Nils Aman,C,2000-02-07,Left,6-2,188,179,Avesta,Sweden,se
ambroco01,Colby Ambrosio,C,2002-08-07,Right,5-8,173,170,Welland,Ontario,ca
ambrose01,Seth Ambroz,RW,1993-04-03,Right,6-2,188,209,,,
ambrope01,Peter Ambroziak,LW,1971-09-15,Left,6-0,183,206,Toronto,Ontario,ca
amiroro01,Rodion Amirov,LW,2001-10-02,Left,6-0,183,177,,,
amodemi01,Mike Amodeo,D,1952-06-22,Left,5-10,178,190,Toronto,Ontario,ca
amontto01,Tony Amonte,RW,1970-08-02,Left,6-0,183,200,Hingham,Massachusetts,us
amorote01,Terrance Amorosa,D,1994-11-13,Left,6-2,188,205,Kirkland,Quebec,ca
anassa01,Sam Anas,F,1993-06-01,Left,5-8,173,163,Potomac,Maryland,us
anderfr01,Frederik Andersen,G,1989-10-02,,6-4,193,230,Herning,Denmark,dk
anderni02,Niclas Andersen,D,1988-04-28,Left,6-1,185,218,Grums,Sweden,se
anderbi01,Bill Anderson,D,1912-12-13,Right,6-0,183,190,Tillsonburg,Ontario,ca
andercr01,Craig Anderson,G,1981-05-21,,6-2,188,186,,,
anderda01,Dale Anderson,D,1932-03-05,Left,6-3,190,190,Regina,Saskatchewan,ca
anderdo01,Doug Anderson,C,1927-10-20,Left,5-7,170,157,Edmonton,Alberta,ca
anderea01,Earl Anderson,RW,1951-02-24,Right,6-1,185,185,Roseau,Minnesota,us
andergl01,Glenn Anderson,RW,1960-10-02,Left,6-1,185,190,,,
anderji01,Jim Anderson,LW,1930-12-01,Left,5-10,178,165,Pembroke,Ontario,ca
anderjo08,Joey Anderson,RW,1998-06-19,Right,5-11,180,190,Roseville,Minnesota,us
anderjo01,John Anderson,RW,1957-03-28,Left,5-11,180,185,Toronto,Ontario,ca
anderjo06,Josh Anderson,D,1998-08-29,Left,6-2,188,225,,,
anderjo05,Josh Anderson,RW,1994-05-07,Right,6-3,190,222,Burlington,Ontario,ca
anderlo01,Lorne Anderson,G,1931-07-26,,5-11,180,166,Renfrew,Ontario,ca
anderma01,Matt Anderson,RW,1982-10-31,Right,5-11,180,195,,,
andermi02,Michael Anderson,D,1999-05-25,Left,,,,,,
andermu01,Murray Anderson,D,1949-08-28,Left,5-10,178,175,,,
anderpe01,Perry Anderson,LW,1961-10-14,Left,6-1,185,225,Barrie,Ontario,ca
anderr,R.J. Anderson,D,1986-07-16,,,,,,,
anderro01,Ron Anderson,RW,1945-07-29,Right,6-0,183,170,,,
anderro02,Ron Anderson,RW,1950-01-21,Right,5-10,178,165,,,
anderro03,Ron F. Anderson,D,1948-11-15,Right,6-0,183,190,Dryden,Ontario,ca
anderru01,Russ Anderson,D,1955-02-12,Left,6-3,190,210,Minneapolis,Minnesota,us
andersh01,Shawn Anderson,D,1968-02-07,Left,6-1,185,200,Montreal,Quebec,ca
anderto01,Tom Anderson,LW/D,1910-07-09,Left,5-10,178,180,,,
anderja01,Jaret Anderson-Dolan,C,1999-09-12,Left,5-11,180,190,Calgary,Alberta,ca
anderan01,Anton Andersson,D,1998-10-13,Left,6-3,190,216,Smogen,Sweden,se
anderax01,Axel Andersson,D,2000-02-10,Right,6-0,183,178,Jarna,Sweden,se
anderca01,Calle Andersson,D,1994-05-16,,,,,,,
anderer01,Erik Andersson,C,1971-08-19,Left,6-3,190,210,Stockholm,Sweden,se
anderjo03,Joakim Andersson,C,1989-02-05,Left,6-2,188,211,Munkedal,Sweden,se
anderjo04,Johan Andersson,C,1984-05-18,,,,,,,
anderjo02,Jonas Andersson,RW,1981-02-24,Left,6-3,190,204,Stockholm,Sweden,se
anderke01,Kent-Erik Andersson,RW,1951-05-24,,6-2,188,185,Orebro,Sweden,se
anderli01,Lias Andersson,C,1998-10-13,Left,5-11,180,195,Smogen,Sweden,se
andermi01,Mikael Andersson,LW,1966-05-10,Left,5-11,180,181,Malmo,Sweden,se
anderni01,Niklas Andersson,LW,1971-05-20,Left,5-9,175,180,Kungalv,Sweden,se
anderpe04,Peter Andersson,D,1991-04-13,Left,6-3,190,194,Kvidinge,Sweden,se
anderpe02,Peter Andersson,D,1962-03-02,,6-3,190,194,Federtalve,Sweden,se
anderpe03,Peter Andersson,D,1965-08-29,Left,6-0,183,196,Orebro,Sweden,se
anderra01,Rasmus Andersson,D,1996-10-27,Right,6-1,185,214,Malmo,Sweden,se
andraem01,Emil Andrae,D,2002-02-23,Left,5-8,173,181,Vastervik,Sweden,se
andrast01,Steve Andrascik,RW,1948-11-06,Right,5-11,180,200,Sherridon,Manitoba,ca
andrepa01,Paul Andrea,RW,1941-07-31,Left,5-10,178,174,,,
andrera01,Randy Andreachuk,C,1954-07-19,,6-0,183,177,Lethbridge,Alberta,ca
andrean01,Andy Andreoff,LW,1991-05-17,Left,6-1,185,210,Pickering,Ontario,ca
andrejo01,Joel Andresen,D,1983-04-11,,,,,,,
andreal01,Alexander Andrevi,,,,,,,,,
andrebr01,Brent Andrews,LW,1993-01-19,,,,,,,
andrell01,Lloyd Andrews,LW,1894-11-04,Left,,,,Tillsonburg,Ontario,ca
andreda01,Dave Andreychuk,LW,1963-09-29,Right,6-4,193,220,Hamilton,Ontario,ca
andrial01,Alexander Andrievski,RW,1968-08-10,Right,6-5,196,211,Moscow,USSR,su
andrisv01,Sven Andrighetto,RW,1993-03-21,Left,5-10,178,188,Zurich,Switzerland,ch
androse01,Sergei Andronov,RW,1989-07-19,,,,,,,
andruro01,Ron Andruff,C,1953-07-10,Right,6-0,183,185,,,
andrugr01,Greg Andrusak,D,1969-11-14,Right,6-1,185,195,,,
anelobr01,Bryce Aneloski,D,1990-04-27,,,,,,,
angjo01,Jonathan Ang,F,1998-01-31,Right,5-11,180,172,Markham,Canada,ca
angelmi01,Mike Angelidis,LW,1985-06-27,Left,6-1,185,212,Woodbridge,Ontario,ca
angelan01,Anthony Angello,C,1996-03-06,Right,6-5,196,210,,,
angelme01,Mel Angelstad,LW,1972-10-31,Left,6-2,188,214,Saskatoon,Saskatchewan,ca
anglety01,Tyler Angle,C,2000-09-30,Left,5-10,178,172,,,
angotlo01,Lou Angotti,C/RW,1938-01-16,Right,5-9,175,170,Toronto,Ontario,ca
anholda01,Darrel Anholt,D,1962-11-23,Left,6-2,188,230,Hardisty,Alberta,ca
anikevi01,Vitali Anikeyenko,D,1987-01-02,,,,,,,
anisiar01,Artem Anisimov,C,1988-05-24,Left,6-4,193,198,Yaroslavl,USSR,su
annunju01,Justus Annunen,G,2000-03-11,Left,6-4,193,217,Kempele,Finland,fi
anshase01,Sergei Anshakov,LW,1984-01-13,,,,,,,
anslohu01,Hub Anslow,C,1926-03-23,Left,6-0,183,173,Pembroke,Ontario,ca
ansonra01,Raivis Ansons,RW,2002-01-29,Left,6-0,183,191,Riga,Latvia,lv
anthost01,Steven Anthony,LW,1991-03-21,,,,,,,
antipvi01,Victor Antipin,D,1992-12-06,Left,5-11,180,175,,,
antonmi01,Mike Antonovich,C,1951-10-18,Left,5-8,173,165,Calumet,Minnesota,us
antossh01,Shawn Antoski,LW,1970-03-25,Left,6-4,193,235,Brantford,Ontario,ca
antroni01,Nik Antropov,C,1980-02-18,Left,6-6,198,245,,,
anttima01,Marko Anttila,RW,1985-03-27,,,,,,,
appleke01,Ken Appleby,G,1995-04-10,,6-4,193,210,,,
applema01,Mason Appleton,C,1996-01-15,Right,6-2,188,193,,,
appssy01,Syl Apps,C,1915-01-18,Left,6-0,183,185,Paris,Ontario,ca
appssy02,Syl Apps,C,1947-08-01,Right,6-0,183,185,Toronto,Ontario,ca
aquinan01,Anthony Aquino,RW,1982-08-01,,,,,,,
aquinlu01,Luciano Aquino,C/LW,1985-01-26,,,,,,,
arboual01,Al Arbour,D,1932-11-01,Left,6-0,183,180,Sudbury,Ontario,ca
arbouam01,Amos Arbour,LW,1895-01-26,Left,5-8,173,160,Waubaushene,Ontario,ca
arbouja01,Jack Arbour,D,1899-03-07,Left,5-8,173,172,Waubaushene,Ontario,ca
arboujo01,John Arbour,D,1945-09-28,Left,5-11,180,195,,,
arbouty01,Ty Arbour,LW,1896-06-29,Left,5-7,170,160,Waubaushene,Ontario,ca
archami01,Michel Archambault,LW,1950-09-27,Left,5-8,173,160,,,
archaol01,Olivier Archambault,LW,1993-02-16,Left,5-11,180,192,,,
archayv01,Yves Archambault,G,1952-06-22,,5-11,180,170,Montreal,Quebec,ca
archean01,Andrew Archer,D,1983-05-15,,,,,,,
archibr01,Brandon Archibald,D,1992-03-31,,,,,,,
archida02,Darren Archibald,RW,1990-02-09,Left,6-3,190,210,Newmarket,Ontario,ca
archida01,Dave Archibald,C/LW,1969-04-14,Left,6-1,185,210,,,
archiji01,Jim Archibald,RW,1961-06-06,Right,5-11,180,175,Craik,Saskatchewan,ca
archijo01,Josh Archibald,RW,1992-10-06,Right,5-10,178,176,Regina,Saskatchewan,ca
arcobma01,Mark Arcobello,RW,1988-08-12,Right,5-8,173,172,Milford,Connecticut,us
areshro01,Ron Areshenkoff,C,1957-06-13,Left,6-0,183,175,,,
arkhide01,Denis Arkhipov,C,1979-05-19,Left,6-3,190,214,Kazan,USSR,su
armiajo01,Joel Armia,RW,1993-05-31,Right,6-4,193,210,Pori,Finland,fi
armstbi01,Bill Armstrong,C,1966-06-25,Left,6-2,188,195,London,Ontario,ca
armstbo01,Bob Armstrong,D,1931-04-07,Right,6-1,185,190,Toronto,Ontario,ca
armstch01,Chris Armstrong,D,1975-06-26,Left,6-0,183,205,Regina,Saskatchewan,ca
armstco01,Colby Armstrong,RW,1982-11-23,Right,6-2,188,195,Lloydminster,Saskatchewan,ca
armstde01,Derek Armstrong,C,1973-04-23,Right,6-0,183,197,Ottawa,Ontario,ca
armstge01,George Armstrong,RW,1930-07-06,Right,6-1,185,184,Skead,Ontario,ca
armstjo01,John Armstrong,C,1988-02-26,,,,,,,
armstmu01,Murray Armstrong,C,1916-01-01,Left,5-10,178,170,Manor,Saskatchewan,ca
armstno01,Norm Armstrong,RW/D,1938-10-17,Left,5-11,180,205,,,
armstri01,Riley Armstrong,RW,1984-11-08,Right,5-11,180,185,Saskatoon,Saskatchewan,ca
armstti01,Tim Armstrong,C,1967-05-12,Right,5-11,180,170,Toronto,Ontario,ca
arnasch01,Chuck Arnason,RW,1951-07-15,Right,5-10,178,183,Ashburn,Manitoba,ca
arnasty01,Tyler Arnason,C,1979-03-16,Left,5-11,180,204,,,
arndtda01,Danny Arndt,LW,1955-03-26,Left,5-11,180,175,Saskatoon,Saskatchewan,ca
arnesli01,Linus Arnesson,D,1994-09-21,Left,6-1,185,188,Stockholm,Sweden,se
arnieja01,Jamie Arniel,C,1989-11-16,Right,5-11,180,183,Kingston,Ontario,ca
arniesc01,Scott Arniel,LW,1962-09-17,Left,6-1,185,188,Kingston,Ontario,ca
arnolbi01,Bill Arnold,C,1992-05-13,Right,6-0,183,218,Boston,Massachusetts,us
arnotja01,Jason Arnott,C,1974-10-11,Right,6-5,196,220,Collingwood,Ontario,ca
aronsta01,Taylor Aronson,D,1991-12-30,Right,6-1,185,205,Placentia,Alaska,us
arsende01,Dean Arsene,D,1980-07-20,Left,6-2,188,195,,,
artemyu01,Yuri Artemenkov,RW,1984-02-03,,,,,,,
arthufr01,Fred Arthur,D,1961-03-06,Left,6-5,196,210,Toronto,Ontario,ca
artyuev01,Evgeny Artyukhin,RW,1983-04-04,Left,6-4,193,255,Moscow,USSR,su
arundjo01,John Arundel,D,1927-11-04,Left,5-11,180,181,Winnipeg,Manitoba,ca
arvedma01,Magnus Arvedson,LW,1971-11-25,Left,6-2,188,198,Karlstad,Sweden,se
arvidvi01,Viktor Arvidsson,LW,1993-04-08,Right,5-9,175,180,Skelleftea,Sweden,se
ashbo01,Bob Ash,D,1943-09-29,Left,5-9,175,170,Broadview,Saskatchewan,ca
ashamar01,Arron Asham,RW,1978-04-13,Right,5-11,180,205,,,
ashbeba01,Barry Ashbee,D,1939-07-28,Right,5-10,178,180,Weston,Ontario,ca
ashbydo01,Don Ashby,C,1955-03-08,Left,6-1,185,185,,,
ashtobr01,Brent Ashton,LW,1960-05-18,Left,6-1,185,210,Saskatoon,Saskatchewan,ca
ashtoca01,Carter Ashton,RW,1991-04-01,Left,6-3,190,215,Winnipeg,Manitoba,ca
ashtoro01,Ron Ashton,LW,1954-05-08,Left,6-1,185,205,Regina,Saskatchewan,ca
ashwofr01,Frank Ashworth,C,1927-10-16,Left,5-8,173,155,,,
askaria01,Iaroslav Askarov,G,2002-06-16,,6-3,190,176,,,
askeyto01,Tom Askey,G,1974-10-04,,6-1,185,195,,,
aslunca01,Calle Aslund,D,1983-03-29,,,,,,,
asmunfr01,Freeman Asmundson,D/RW,1943-08-17,Right,6-2,188,195,Vita,Manitoba,ca
asmunos01,Oscar Asmundson,C,1908-11-17,Right,5-11,180,170,,,
aspirjo01,Jonathan Aspirot,D,1999-05-16,Left,6-0,183,201,Mascouche,Quebec,ca
asplura01,Rasmus Asplund,F,1997-12-03,Left,5-11,180,176,Filipstad,Sweden,se
astaska01,Kaspars Astashenko,D/W,1975-02-17,Left,6-2,188,183,Riga,USSR,su
astlema01,Mark Astley,D,1969-03-30,Left,5-11,180,185,Calgary,Alberta,ca
astonpe01,Peter Aston,D,1986-02-24,,,,,,,
astonza01,Zach Aston-Reese,C,1994-08-10,Left,6-0,183,204,,,
astroha01,Hardy Astrom,G,1951-03-29,,6-0,183,170,Skelleftea,Sweden,se
atanawa01,Walt Atanas,RW,1923-12-22,Right,5-8,173,174,Hamilton,Ontario,ca
atchebl01,Blair Atcheynum,RW,1969-04-20,Right,6-2,188,198,Estevan,Saskatchewan,ca
athanan01,Andreas Athanasiou,C,1994-08-06,Left,6-2,188,190,Woodbridge,Ontario,ca
atherp,P.J. Atherton,D,1982-08-16,,,,,,,
atkinca01,Cam Atkinson,RW,1989-06-05,Right,5-8,173,175,Riverside,Connecticut,us
atkinst01,Steve Atkinson,RW,1948-10-16,Right,5-11,180,170,Toronto,Ontario,ca
attarro01,Ronald Attard,D,1999-03-20,Right,6-3,190,205,,,
attwebo01,Bob Attwell,RW,1959-12-26,Right,6-0,183,192,Spokane,Washington,us
attwero01,Ron Attwell,RW,1935-02-09,Right,6-0,183,185,,,
atyusvi01,Vitali Atyushov,D,1979-07-04,,,,,,,
aubekni01,Nicolas Aube-Kubel,RW,1996-05-10,Right,5-11,180,187,,,
aubinje01,Jean-Sebastien Aubin,G,1977-07-19,,5-11,180,180,Montreal,Quebec,ca
aubinma01,Mathieu Aubin,C,1986-09-18,,,,,,,
aubinno01,Norm Aubin,C,1960-07-26,Left,6-0,183,185,,,
aubinse01,Serge Aubin,LW,1975-02-15,Left,6-1,185,200,,,
aubrylo01,Louis-Marc Aubry,C,1991-11-11,Left,6-4,193,205,Arthabaska,Quebec,ca
aubrypi01,Pierre Aubry,LW,1960-04-15,Left,5-10,178,170,,,
aubryse01,Serge Aubry,G,1942-01-02,,5-7,170,165,Montreal,Quebec,ca
aubucos01,Ossie Aubuchon,LW,1917-01-01,Left,5-10,178,175,,,
aucoiad01,Adrian Aucoin,D,1973-07-03,Right,6-2,188,215,Ottawa,Ontario,ca
aucoike01,Keith Aucoin,C,1978-11-06,Right,5-8,173,171,Waltham,Massachusetts,us
aucoiky01,Kyle Aucoin,D,2002-07-02,Left,5-10,178,164,Ottawa,Ontario,ca
audetph01,Philippe Audet,LW,1977-06-04,Left,6-2,188,202,Ottawa,Ontario,ca
audetda01,Daniel Audette,C,1996-05-06,Left,5-8,173,168,Blainville,Quebec,ca
audetdo01,Donald Audette,RW,1969-09-23,Right,5-8,173,190,Laval,Quebec,ca
auffrma01,Matt Auffrey,RW,1986-01-03,,,,,,,
augele01,Les Auge,D,1953-05-16,Left,6-1,185,190,,,
augerch01,Chris Auger,C,1987-12-16,,,,,,,
augerju01,Justin Auger,RW,1994-05-14,Right,6-7,201,229,Kitchener,Ontario,ca
auguspa01,Patrik Augusta,RW,1969-11-13,Left,5-10,178,170,Jihlava,Czechoslovakia,cs
auldal01,Alex Auld,G,1981-01-07,,6-4,193,215,,,
aulieke01,Keith Aulie,D,1989-06-11,Left,6-6,198,222,Rouleau,Saskatchewan,ca
